sex,recency,history,mens_product_purchase,womens_product_purchase,area_classification,newbie,channel,segment,visit,conversion,spend
男性,9,22051,1,0,都会,0,複数,送付あり,1,0,0
男性,6,7869,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,3,37614,1,0,郊外,0,スマートフォン,送付なし,1,0,0
男性,1,17963,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,8,5976,0,1,都会,1,ウェブ,送付あり,0,0,0
女性,4,32017,0,1,都会,1,スマートフォン,送付あり,0,0,0
女性,1,10307,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,10,3584,1,0,都会,1,スマートフォン,送付なし,0,0,0
女性,2,9091,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,5,21503,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,1,85640,0,1,都会,1,ウェブ,送付なし,1,0,0
男性,10,13983,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,10,24509,1,0,都会,0,複数,送付なし,1,0,0
男性,6,12720,0,1,郊外,0,スマートフォン,送付なし,0,0,0
女性,1,47065,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,1,5913,1,0,都会,1,ウェブ,送付あり,0,0,0
女性,3,32710,1,0,郊外,1,ウェブ,送付なし,1,0,0
男性,1,39972,1,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,3,2999,1,0,都会,0,スマートフォン,送付なし,1,0,0
男性,6,39803,1,1,郊外,0,スマートフォン,送付なし,1,0,0
男性,4,13424,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,10,29055,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,7,2999,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,4,8769,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,12,46537,0,1,地方,1,複数,送付なし,0,0,0
男性,1,18889,0,1,郊外,1,ウェブ,送付なし,1,0,0
女性,4,4980,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,3,22942,0,1,地方,0,複数,送付なし,1,0,0
男性,1,25318,0,1,郊外,0,複数,送付あり,1,0,0
男性,2,15640,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,4,55747,1,0,都会,1,ウェブ,送付なし,0,0,0
男性,11,14007,0,1,都会,1,ウェブ,送付あり,0,0,0
男性,10,16804,1,0,都会,0,ウェブ,送付なし,0,0,0
男性,4,16470,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,2,5753,1,0,都会,1,スマートフォン,送付なし,1,0,0
男性,3,18819,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,10,2999,0,1,郊外,0,ウェブ,送付なし,1,1,14928
女性,1,3522,1,0,都会,1,スマートフォン,送付あり,1,0,0
男性,4,55059,1,0,郊外,1,ウェブ,送付なし,1,0,0
女性,6,23294,1,0,郊外,1,複数,送付あり,1,0,0
女性,10,20588,1,0,都会,0,スマートフォン,送付なし,0,0,0
男性,1,128148,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,3,2999,1,0,都会,0,ウェブ,送付なし,0,0,0
男性,3,54216,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,6,50725,0,1,都会,1,スマートフォン,送付あり,0,0,0
女性,10,2999,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,7,6002,1,0,郊外,1,スマートフォン,送付あり,1,0,0
男性,1,6850,0,1,都会,0,スマートフォン,送付なし,1,0,0
男性,11,3745,0,1,都会,0,スマートフォン,送付なし,0,0,0
女性,4,7039,0,1,郊外,1,ウェブ,送付なし,1,0,0
女性,6,9880,0,1,地方,1,スマートフォン,送付あり,1,0,0
女性,5,55650,0,1,地方,1,ウェブ,送付あり,0,0,0
女性,6,13626,0,1,地方,1,ウェブ,送付なし,0,0,0
女性,9,17214,0,1,都会,0,スマートフォン,送付あり,1,0,0
男性,2,20352,1,1,都会,1,複数,送付なし,0,0,0
男性,10,32011,0,1,地方,0,ウェブ,送付なし,0,0,0
女性,8,26725,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,9,74422,1,0,地方,1,ウェブ,送付なし,0,0,0
男性,3,9925,1,0,郊外,1,スマートフォン,送付なし,1,0,0
男性,5,6249,1,0,地方,0,ウェブ,送付なし,0,0,0
男性,4,7266,0,1,郊外,1,スマートフォン,送付あり,1,0,0
男性,10,33365,0,1,郊外,0,ウェブ,送付なし,1,0,0
男性,7,34018,0,1,都会,0,スマートフォン,送付なし,1,0,0
女性,10,6263,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,5,28355,1,0,都会,1,スマートフォン,送付なし,0,0,0
男性,9,5434,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,5,24782,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,11,17856,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,2,8638,1,0,都会,1,ウェブ,送付あり,1,0,0
女性,7,23340,1,1,都会,0,複数,送付なし,1,0,0
女性,1,152415,1,0,地方,1,ウェブ,送付なし,1,0,0
男性,10,5771,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,4,41086,0,1,都会,0,ウェブ,送付なし,1,0,0
女性,6,4024,1,0,郊外,1,スマートフォン,送付あり,0,0,0
女性,9,53516,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,3,58463,1,1,郊外,1,ウェブ,送付なし,1,0,0
男性,1,2999,1,0,都会,1,スマートフォン,送付あり,1,0,0
男性,5,11947,1,0,郊外,0,スマートフォン,送付なし,1,0,0
女性,7,6886,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,3,6881,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,9,16562,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,1,68608,1,1,都会,1,ウェブ,送付なし,0,0,0
男性,7,14588,0,1,都会,0,スマートフォン,送付なし,0,0,0
男性,5,96459,0,1,郊外,1,スマートフォン,送付なし,0,0,0
男性,7,57835,0,1,郊外,1,ウェブ,送付あり,1,0,0
女性,7,9333,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,5,4230,0,1,都会,0,スマートフォン,送付なし,1,0,0
男性,4,47494,0,1,都会,1,ウェブ,送付あり,0,0,0
男性,7,29188,1,0,都会,0,複数,送付なし,0,0,0
女性,6,3217,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,1,20026,1,0,郊外,0,複数,送付なし,0,0,0
男性,8,113796,0,1,郊外,1,スマートフォン,送付あり,0,0,0
男性,9,5153,1,0,郊外,1,スマートフォン,送付なし,1,0,0
女性,3,17736,0,1,郊外,1,ウェブ,送付あり,1,0,0
女性,9,3475,1,0,都会,1,ウェブ,送付なし,0,0,0
男性,8,40284,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,1,27620,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,1,96002,1,1,地方,1,ウェブ,送付なし,0,0,0
女性,1,10092,0,1,都会,1,ウェブ,送付なし,0,0,0
男性,7,34844,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,11,2999,0,1,地方,0,ウェブ,送付あり,1,0,0
女性,3,21608,0,1,都会,0,スマートフォン,送付なし,0,0,0
男性,9,12946,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,4,21892,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,3,10934,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,3218,1,0,郊外,1,ウェブ,送付あり,0,0,0
女性,7,28773,1,1,都会,0,ウェブ,送付なし,0,0,0
女性,4,2999,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,12,9817,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,5,72899,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,9,48316,1,1,都会,0,スマートフォン,送付あり,1,0,0
男性,4,9336,1,0,郊外,1,スマートフォン,送付なし,0,0,0
女性,2,54234,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,9,4468,1,0,都会,0,スマートフォン,送付なし,0,0,0
男性,2,18803,1,0,都会,1,スマートフォン,送付なし,0,0,0
男性,1,13246,1,0,都会,0,スマートフォン,送付なし,0,0,0
女性,8,16705,0,1,都会,0,スマートフォン,送付なし,0,0,0
男性,3,17931,0,1,都会,0,ウェブ,送付なし,0,0,0
女性,1,29002,1,1,都会,0,ウェブ,送付なし,0,0,0
男性,1,8959,0,1,郊外,1,ウェブ,送付あり,0,0,0
男性,2,85145,1,1,地方,1,ウェブ,送付なし,1,0,0
男性,1,24843,1,0,郊外,1,スマートフォン,送付なし,1,0,0
女性,3,14119,0,1,郊外,1,スマートフォン,送付なし,0,0,0
男性,7,2999,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,6,11360,1,0,郊外,1,スマートフォン,送付なし,1,0,0
男性,9,30252,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,3,7398,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,1,7950,0,1,郊外,0,ウェブ,送付なし,1,0,0
女性,12,10360,1,0,地方,0,スマートフォン,送付なし,0,0,0
男性,1,13729,0,1,都会,0,スマートフォン,送付なし,1,0,0
男性,6,11474,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,5,2999,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,1,38611,1,1,都会,0,複数,送付あり,1,0,0
男性,8,4578,1,0,郊外,0,スマートフォン,送付なし,1,0,0
女性,6,35877,0,1,郊外,0,ウェブ,送付なし,1,0,0
男性,5,14174,1,0,郊外,0,ウェブ,送付なし,1,0,0
男性,9,20533,1,0,郊外,1,複数,送付あり,0,0,0
女性,1,62985,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,9,38377,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,6,6433,1,0,地方,0,ウェブ,送付なし,0,0,0
男性,12,6328,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,6,10883,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,4,12187,1,0,地方,0,ウェブ,送付なし,1,0,0
男性,10,48929,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,19997,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,4,61483,1,0,都会,1,複数,送付なし,1,0,0
女性,9,19938,0,1,都会,1,スマートフォン,送付あり,0,0,0
女性,4,22404,1,0,都会,0,ウェブ,送付なし,1,0,0
女性,3,6647,1,0,地方,1,ウェブ,送付あり,0,0,0
男性,9,3363,0,1,地方,0,スマートフォン,送付なし,0,0,0
男性,2,10981,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,10,16143,0,1,郊外,1,ウェブ,送付なし,0,0,0
男性,12,9015,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,1,68112,1,0,地方,1,スマートフォン,送付あり,0,0,0
男性,9,19854,0,1,都会,0,スマートフォン,送付なし,0,0,0
女性,11,30100,1,1,郊外,1,ウェブ,送付なし,0,0,0
男性,2,37850,0,1,都会,0,ウェブ,送付あり,1,1,8058
女性,10,13194,0,1,郊外,0,スマートフォン,送付なし,0,0,0
男性,10,37534,1,0,地方,0,ウェブ,送付なし,0,0,0
女性,1,28631,1,1,郊外,0,ウェブ,送付なし,1,0,0
男性,7,60013,1,1,都会,1,スマートフォン,送付なし,0,0,0
男性,6,10742,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,2,10299,0,1,郊外,0,スマートフォン,送付なし,0,0,0
女性,7,29760,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,1,78380,1,1,郊外,1,ウェブ,送付なし,1,0,0
男性,9,8996,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,8,15575,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,8,13566,1,0,地方,1,ウェブ,送付あり,0,0,0
女性,9,40403,1,1,都会,0,複数,送付なし,0,0,0
男性,1,15565,1,0,都会,0,ウェブ,送付なし,0,0,0
女性,12,3667,0,1,都会,0,ウェブ,送付あり,1,1,19583
男性,1,56370,1,0,郊外,1,複数,送付あり,1,0,0
男性,6,26520,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,1,35756,0,1,郊外,0,スマートフォン,送付なし,1,0,0
男性,11,20697,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,7,122253,1,1,地方,1,スマートフォン,送付あり,0,0,0
女性,5,6755,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,9,10859,1,0,地方,1,ウェブ,送付あり,0,0,0
女性,1,61504,1,1,郊外,1,スマートフォン,送付なし,0,0,0
女性,7,15316,1,0,地方,0,スマートフォン,送付あり,1,0,0
男性,4,12751,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,8,6090,0,1,地方,1,スマートフォン,送付なし,0,0,0
男性,1,23417,1,0,地方,1,スマートフォン,送付なし,1,0,0
女性,12,14527,1,0,都会,1,ウェブ,送付あり,0,0,0
女性,11,11261,0,1,都会,0,ウェブ,送付なし,0,0,0
女性,5,16810,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,5,3779,0,1,郊外,0,ウェブ,送付なし,1,0,0
男性,4,7016,0,1,郊外,0,ウェブ,送付なし,1,0,0
男性,6,6509,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,9,29758,0,1,郊外,1,スマートフォン,送付あり,1,1,11839
女性,7,40976,1,1,都会,0,複数,送付あり,1,0,0
女性,9,6015,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,1,11137,0,1,郊外,1,ウェブ,送付なし,1,0,0
男性,7,2999,0,1,都会,0,スマートフォン,送付なし,0,0,0
男性,1,8700,0,1,地方,1,スマートフォン,送付あり,0,0,0
男性,2,4647,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,9,12929,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,3,70862,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,3,2999,1,0,都会,1,スマートフォン,送付あり,1,0,0
男性,10,11333,0,1,都会,0,ウェブ,送付なし,0,0,0
男性,4,73733,0,1,郊外,1,ウェブ,送付あり,0,0,0
男性,12,2999,1,0,都会,1,ウェブ,送付あり,0,0,0
男性,11,2999,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,7,75859,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,4,17455,1,0,地方,1,ウェブ,送付あり,1,0,0
男性,9,7672,1,0,郊外,0,スマートフォン,送付なし,0,0,0
男性,6,33434,0,1,地方,0,複数,送付あり,1,0,0
女性,12,10883,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,10,31945,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,10,2999,1,0,郊外,1,ウェブ,送付あり,0,0,0
女性,3,36727,0,1,郊外,1,スマートフォン,送付なし,1,0,0
男性,8,2999,1,0,都会,1,ウェブ,送付なし,0,0,0
男性,10,10282,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,4,73984,1,0,都会,1,スマートフォン,送付あり,1,0,0
女性,6,16143,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,8,34657,1,0,都会,1,ウェブ,送付なし,1,0,0
女性,7,72901,0,1,地方,1,スマートフォン,送付なし,1,0,0
女性,10,5133,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,2,15922,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,5,107961,1,1,郊外,1,ウェブ,送付なし,1,1,2999
女性,10,2999,1,0,郊外,1,ウェブ,送付なし,0,0,0
